P(Topic 1),P(Topic 2),P(Topic 3),P(Topic 4),P(Topic 5),P(Topic 6),P(Topic 7),P(Topic 8),P(Topic 9),P(Topic 10)
0.023767582268512753,0.023767582304255058,0.023767582290191474,0.023767582300512406,0.023768917264243954,0.023769020289705203,0.7860872254522183,0.02376758220857551,0.023769343368850733,0.023767582252934558
0.019165722910247655,0.019165723187681373,0.019165723078583687,0.019165723158621768,0.01916639663217078,0.019172679059071964,0.7733537796893983,0.019165722445476853,0.07331280704917012,0.019165722789577573
0.014673420027248578,0.014673420322849058,0.014673420200576505,0.014673420290362558,0.014676815610989503,0.014673705592480808,0.8679320264363849,0.014673423800445182,0.01467692784189846,0.014673419876764375
0.02180039666538653,0.021800306774138457,0.02180030672428185,0.021800336377745443,0.8037763867605908,0.02180921492887281,0.021810768402649387,0.021800812588390818,0.02180083618004579,0.021800634597898248
0.010751593176085225,0.010751584246490437,0.01075158401180174,0.010751584184079434,0.11445791428230348,0.010752026016413705,0.799525838522004,0.01075241950622568,0.010753865908305474,0.01075159014629073
0.02831126765079668,0.028311268085652,0.02831126791463638,0.028311268040142445,0.028311263257671023,0.028312333766517532,0.5824183473555147,0.02831126692218663,0.1910904495452622,0.028311267461620496
0.028314900305420446,0.028314900583183387,0.028314900473947916,0.028314900554114033,0.028314897499450455,0.02831568719766788,0.7451618287394942,0.02831489984002273,0.0283181846221141,0.028314900184584893
0.02230453788250568,0.02230453803432657,0.022304537974621095,0.02230453801876495,0.022306246630832957,0.19956561893754665,0.6219958046605265,0.022304537628122668,0.022305102414619075,0.022304537818133675
0.009931141261030459,0.00993095448058865,0.009930954339836331,0.00993095444327041,0.009931517964181505,0.14751786691023053,0.7730274108494636,0.009930982459287026,0.009934936237484305,0.009933281054627143
0.01995653574492187,0.019956535793182007,0.019956535774183964,0.019956535788103268,0.01996056771732545,0.8203795556606658,0.019962584992598755,0.019956535665476532,0.0199580771396039,0.019956535723938525
0.028301656719101773,0.028301656726116908,0.02830165672335801,0.028301656725382752,0.02830165664823129,0.7452849916870523,0.02830175467681,0.028301656707347876,0.028301656670549312,0.028301656716049915
0.013815553591771123,0.013815555051939238,0.013815554477838743,0.013815554899115097,0.013818070053656366,0.10990419516654451,0.5009626051357431,0.013815604474615028,0.013816710038031633,0.29242059711074514
0.019022099037484027,0.019022100487715625,0.019022099917428075,0.0190221003428798,0.01902236786883802,0.03927353646490277,0.808469004638931,0.019022096607653673,0.01902243133728895,0.019102163296877875
0.020736107657324244,0.020736107734723952,0.020736107704283004,0.020736107726622263,0.020736733139353317,0.8133710108301352,0.02073810087354705,0.020737114941350585,0.020736501768994043,0.020736107623666216
0.027938760313728266,0.027938760315125353,0.027938760314577028,0.027938760314978536,0.027938760299622917,0.7485510420130166,0.027938875500371357,0.02793876031139501,0.027938760304064014,0.027938760313120963
0.021743868190638244,0.021743722987293393,0.021743722924719003,0.021743722970640506,0.021743781245833767,0.02174822008825042,0.8042999227620096,0.021743722561589976,0.021745593510060904,0.021743722758964246
0.02682676181794166,0.026826562052250702,0.026826796950428406,0.02682656205215188,0.026826934698957413,0.7585567379534287,0.026827343007466493,0.026826826897229504,0.026828912519246382,0.02682656205089876
0.025413051351392626,0.025413051403680692,0.025413051383423108,0.025413051398486698,0.025413050825523056,0.02541393968629154,0.7712791367623555,0.025413051264157376,0.025415564595947876,0.025413051328741623
0.024345110865804015,0.024345111010532546,0.024345110953595945,0.024345110995373023,0.02434510940370009,0.024346108302835786,0.7808906398013185,0.024345110623295866,0.024347477240717345,0.024345110802826777
0.023593364980733212,0.02359336518963635,0.023593365107440575,0.023593365167762954,0.023593968295175256,0.023593967488680267,0.7876554008186819,0.023593364630497184,0.02359647343164259,0.023593364889749655
0.026550321062493925,0.0265501754305033,0.0265503466247122,0.0265501754302796,0.02655044632781575,0.7610461178816234,0.026550438743405628,0.026550368381133983,0.026551434690591423,0.026550175427440776
0.022978427275448726,0.022978429186259777,0.022978428434790626,0.02297842898661985,0.10348287389133788,0.2230127259869899,0.3439823358228081,0.022978424073905622,0.1916514998976658,0.022978426444173635
0.028089619606607736,0.028089619607685433,0.028089619607262303,0.028089619607575854,0.028089619595724036,0.7471931188728962,0.028089924292137525,0.02808961960480243,0.028089619599162084,0.02808961960614644
0.01588441955076365,0.015884006599747546,0.1488709399338894,0.015884006080925613,0.015884523617465722,0.01588884354126141,0.724049868165293,0.015884104219882726,0.015885285810589147,0.01588400248018189
0.02801611072728095,0.028016110731560143,0.02801611072987715,0.028016110731114593,0.02801611068401062,0.7478542893763072,0.028016824876684207,0.028016110720105528,0.028016110697646177,0.028016110725413285
0.018729601431821202,0.018729463348082086,0.018729463323806497,0.018729463341622267,0.01873063488620922,0.5879170480696493,0.26224568654913294,0.01872949015529445,0.0187296856348824,0.018729463259499528
0.019740868947985782,0.019740868986624138,0.0197408689714199,0.01974086898256776,0.01974089667822382,0.8223320038465985,0.019741017091460953,0.019740868883270722,0.01974086868066538,0.019740868931183063
0.01523331017698997,0.015233310907945044,0.015233310620466666,0.01523331083144488,0.015233398010679277,0.015236942663417147,0.862896425930599,0.015233308952276408,0.01523337204716675,0.015233309859014969
0.02689838918742665,0.02689820092724663,0.026898422279966125,0.026898200927100407,0.02689855184763012,0.7579148530874105,0.02689826270447289,0.02689845047666858,0.02689846763683024,0.026898200925247865
